seed,variant,folder,required_files_complete,missing_files,parameters_match_frozen_protocol,parameter_mismatches,manifest_sha256,best_iteration,best_score,training_rows,validation_rows
2027,indicators_only,/content/drive/MyDrive/research/researchdata/NIDS_Research/NIDS_Research_Checkpoints/five_seed_confirmatory_replication/component_ablation_corrected/seed_2027/indicators_only,True,,True,{},9dfdeebc5bb6b03e84a0785e372cf74828f6cf5fea07b382c08ec7bd2657a831,987,0.00220860267250908,598043,152964
2027,augmentation_only,/content/drive/MyDrive/research/researchdata/NIDS_Research/NIDS_Research_Checkpoints/five_seed_confirmatory_replication/component_ablation_corrected/seed_2027/augmentation_only,True,,True,{},2d88dc8c1d15723e3d2da96d60577c766d56adc607fb97054775f7a7b3c03d76,411,0.01782043814631669,1196086,764820
2028,indicators_only,/content/drive/MyDrive/research/researchdata/NIDS_Research/NIDS_Research_Checkpoints/five_seed_confirmatory_replication/component_ablation_corrected/seed_2028/indicators_only,True,,True,{},183fe78ef724dbd24ad270702b4361170c99ab5fc49d672b6a653ef597c46fc8,1162,0.00221124881995071,598043,152964
2028,augmentation_only,/content/drive/MyDrive/research/researchdata/NIDS_Research/NIDS_Research_Checkpoints/five_seed_confirmatory_replication/component_ablation_corrected/seed_2028/augmentation_only,True,,True,{},64a65e66b511ff3b0d42189b981cbe774db7a49d7b23adde4145fe0b9df8e4b5,388,0.0177185256819161,1196086,764820
2029,indicators_only,/content/drive/MyDrive/research/researchdata/NIDS_Research/NIDS_Research_Checkpoints/five_seed_confirmatory_replication/component_ablation_corrected/seed_2029/indicators_only,True,,True,{},211eaf70b72b118cd1606181c931631c6d83e3903f9da49a67ff2d9bf566630c,1016,0.00222257302585,598043,152964
2029,augmentation_only,/content/drive/MyDrive/research/researchdata/NIDS_Research/NIDS_Research_Checkpoints/five_seed_confirmatory_replication/component_ablation_corrected/seed_2029/augmentation_only,True,,True,{},f030c78b7341983c80483593a5d1b9df2277c355482940a7dd8cf30e7d2c3397,318,0.01805258610767739,1196086,764820
2030,indicators_only,/content/drive/MyDrive/research/researchdata/NIDS_Research/NIDS_Research_Checkpoints/five_seed_confirmatory_replication/component_ablation_corrected/seed_2030/indicators_only,True,,True,{},a03586c379479e1d39be6522ba3c07d0828433dcbb57162cfa301eb0785dafb5,1134,0.00220314242795217,598043,152964
2030,augmentation_only,/content/drive/MyDrive/research/researchdata/NIDS_Research/NIDS_Research_Checkpoints/five_seed_confirmatory_replication/component_ablation_corrected/seed_2030/augmentation_only,True,,True,{},4e604617074dca6315b2a9cb224be50dd34e512b6a0782d1f6a0ada32bab1ca1,326,0.01833136690170136,1196086,764820
2031,indicators_only,/content/drive/MyDrive/research/researchdata/NIDS_Research/NIDS_Research_Checkpoints/five_seed_confirmatory_replication/component_ablation_corrected/seed_2031/indicators_only,True,,True,{},c20d29d6dbd403abc1025d187a188c69ff0a18bd292c4fc8a05685143ec7a0b8,1104,0.00221129188900365,598043,152964
2031,augmentation_only,/content/drive/MyDrive/research/researchdata/NIDS_Research/NIDS_Research_Checkpoints/five_seed_confirmatory_replication/component_ablation_corrected/seed_2031/augmentation_only,True,,True,{},c64598db542a64424dc64940cbfc099c3ac504f289326f1170dc45d8e5eaf288,386,0.01802411970269137,1196086,764820
