job_id,direction,variant,partition_seed,model_seed,action,training_replacement,output_subdir
forward_matched_complete_baseline_seed_2027,forward,matched_complete_baseline,,2027,train_new,source_training_median,revision_v2/forward/forward_matched_complete_baseline_seed_2027
forward_iid_matched_feature_dropout_seed_2027,forward,iid_matched_feature_dropout,,2027,train_new,source_training_median,revision_v2/forward/forward_iid_matched_feature_dropout_seed_2027
forward_random_partition_group_mask_partition_4101_seed_2027,forward,random_partition_group_mask,4101,2027,train_new,source_training_median,revision_v2/forward/forward_random_partition_group_mask_partition_4101_seed_2027
forward_random_partition_group_mask_partition_4102_seed_2027,forward,random_partition_group_mask,4102,2027,train_new,source_training_median,revision_v2/forward/forward_random_partition_group_mask_partition_4102_seed_2027
forward_random_partition_group_mask_partition_4103_seed_2027,forward,random_partition_group_mask,4103,2027,train_new,source_training_median,revision_v2/forward/forward_random_partition_group_mask_partition_4103_seed_2027
forward_random_partition_group_mask_partition_4104_seed_2027,forward,random_partition_group_mask,4104,2027,train_new,source_training_median,revision_v2/forward/forward_random_partition_group_mask_partition_4104_seed_2027
forward_random_partition_group_mask_partition_4105_seed_2027,forward,random_partition_group_mask,4105,2027,train_new,source_training_median,revision_v2/forward/forward_random_partition_group_mask_partition_4105_seed_2027
forward_semantic_uniform_singleton_seed_2027,forward,semantic_uniform_singleton,,2027,reuse_verified_v1_augmentation_only,source_training_median,revision_v2/forward/forward_semantic_uniform_singleton_seed_2027
forward_semantic_exhaustive_singleton_seed_2027,forward,semantic_exhaustive_singleton,,2027,train_new,source_training_median,revision_v2/forward/forward_semantic_exhaustive_singleton_seed_2027
forward_seen_pairwise_oracle_upper_bound_seed_2027,forward,seen_pairwise_oracle_upper_bound,,2027,train_new,source_training_median,revision_v2/forward/forward_seen_pairwise_oracle_upper_bound_seed_2027
forward_matched_complete_baseline_seed_2028,forward,matched_complete_baseline,,2028,train_new,source_training_median,revision_v2/forward/forward_matched_complete_baseline_seed_2028
forward_iid_matched_feature_dropout_seed_2028,forward,iid_matched_feature_dropout,,2028,train_new,source_training_median,revision_v2/forward/forward_iid_matched_feature_dropout_seed_2028
forward_random_partition_group_mask_partition_4101_seed_2028,forward,random_partition_group_mask,4101,2028,train_new,source_training_median,revision_v2/forward/forward_random_partition_group_mask_partition_4101_seed_2028
forward_random_partition_group_mask_partition_4102_seed_2028,forward,random_partition_group_mask,4102,2028,train_new,source_training_median,revision_v2/forward/forward_random_partition_group_mask_partition_4102_seed_2028
forward_random_partition_group_mask_partition_4103_seed_2028,forward,random_partition_group_mask,4103,2028,train_new,source_training_median,revision_v2/forward/forward_random_partition_group_mask_partition_4103_seed_2028
forward_random_partition_group_mask_partition_4104_seed_2028,forward,random_partition_group_mask,4104,2028,train_new,source_training_median,revision_v2/forward/forward_random_partition_group_mask_partition_4104_seed_2028
forward_random_partition_group_mask_partition_4105_seed_2028,forward,random_partition_group_mask,4105,2028,train_new,source_training_median,revision_v2/forward/forward_random_partition_group_mask_partition_4105_seed_2028
forward_semantic_uniform_singleton_seed_2028,forward,semantic_uniform_singleton,,2028,reuse_verified_v1_augmentation_only,source_training_median,revision_v2/forward/forward_semantic_uniform_singleton_seed_2028
forward_semantic_exhaustive_singleton_seed_2028,forward,semantic_exhaustive_singleton,,2028,train_new,source_training_median,revision_v2/forward/forward_semantic_exhaustive_singleton_seed_2028
forward_seen_pairwise_oracle_upper_bound_seed_2028,forward,seen_pairwise_oracle_upper_bound,,2028,train_new,source_training_median,revision_v2/forward/forward_seen_pairwise_oracle_upper_bound_seed_2028
forward_matched_complete_baseline_seed_2029,forward,matched_complete_baseline,,2029,train_new,source_training_median,revision_v2/forward/forward_matched_complete_baseline_seed_2029
