analysis,dataset,model,metric,seeds,mean,sd,ci95_lower,ci95_upper
nonselective pairwise average,source,augmentation_only,f1,5,0.8910133627232091,0.006032786353948437,0.8835226690986563,0.8985040563477619
nonselective pairwise average,source,augmentation_only,precision,5,0.9881085545014623,0.0019362536543293058,0.9857043780474911,0.9905127309554335
nonselective pairwise average,source,augmentation_only,recall,5,0.8379119439166611,0.005953698197207662,0.8305194512090177,0.8453044366243045
nonselective pairwise average,source,augmentation_only,false_positive_rate,5,0.0019771225442672203,0.0003345560544169731,0.0015617163361165646,0.002392528752417876
nonselective pairwise average,source,augmentation_only,ece,5,0.022618888830269253,0.00045358553351317976,0.02205568800319989,0.023182089657338617
nonselective pairwise average,source,augmentation_only,brier,5,0.022996354236120006,0.0007103843251141426,0.022114295594737494,0.023878412877502517
nonselective pairwise average,source,full_method,f1,5,0.907013359084182,0.017737187506449963,0.8849897319280334,0.9290369862403306
nonselective pairwise average,source,full_method,precision,5,0.9785421248357302,0.0139424194139265,0.9612303246016004,0.99585392506986
nonselective pairwise average,source,full_method,recall,5,0.8625292100722881,0.032459221427518246,0.8222257634160144,0.9028326567285618
nonselective pairwise average,source,full_method,false_positive_rate,5,0.004432019523284143,0.004120234637278088,-0.0006839274899762132,0.0095479665365445
nonselective pairwise average,source,full_method,ece,5,0.02122003069277039,0.0008361001404342274,0.020181875249500096,0.022258186136040685
nonselective pairwise average,source,full_method,brier,5,0.0216915645008181,0.000705330241742935,0.02081578133280154,0.02256734766883466
nonselective pairwise average,source,indicators_only,f1,5,0.6486401824017666,0.04428252506513345,0.5936561652788345,0.7036241995246987
nonselective pairwise average,source,indicators_only,precision,5,0.8372870775674508,0.03441029929279439,0.7945610477681715,0.8800131073667301
nonselective pairwise average,source,indicators_only,recall,5,0.6357039900412762,0.05301838362881843,0.5698729718464164,0.701535008236136
nonselective pairwise average,source,indicators_only,false_positive_rate,5,0.054895028917193146,0.011881673882393785,0.04014198221902681,0.06964807561535949
nonselective pairwise average,source,indicators_only,ece,5,0.10363430736075914,0.00483988844018632,0.0976247921292572,0.10964382259226108
nonselective pairwise average,source,indicators_only,brier,5,0.09437730464315892,0.0033515351595163876,0.09021582409687331,0.09853878518944453
nonselective pairwise average,source,ordinary_baseline,f1,5,0.6293413372960026,0.019767737014262373,0.604796449919433,0.6538862246725722
nonselective pairwise average,source,ordinary_baseline,precision,5,0.8658357738814733,0.019623841982981335,0.8414695557847657,0.8902019919781808
nonselective pairwise average,source,ordinary_baseline,recall,5,0.60602983249252,0.020843664083118583,0.5801490052098587,0.6319106597751812
nonselective pairwise average,source,ordinary_baseline,false_positive_rate,5,0.046073613479089316,0.007231201877598483,0.0370948904439318,0.05505233651424683
nonselective pairwise average,source,ordinary_baseline,ece,5,0.10368993793812462,0.0028174197300548844,0.1001916492914865,0.10718822658476274
nonselective pairwise average,source,ordinary_baseline,brier,5,0.09489349349079193,0.0017510523380014282,0.09271927484372502,0.09706771213785884
nonselective pairwise average,target,augmentation_only,f1,5,0.2508104351502768,0.018179115072311625,0.22823808244578397,0.2733827878547696
nonselective pairwise average,target,augmentation_only,precision,5,0.7241387513559788,0.07377931570370669,0.6325296312345764,0.8157478714773813
nonselective pairwise average,target,augmentation_only,recall,5,0.16303069734429523,0.014575813399348573,0.14493243460178806,0.1811289600868024
nonselective pairwise average,target,augmentation_only,false_positive_rate,5,0.007278436153607323,0.0010681837145867928,0.005952110891737335,0.008604761415477311
nonselective pairwise average,target,augmentation_only,ece,5,0.12787166995938254,0.002285950506616933,0.12503328751364062,0.13071005240512445
nonselective pairwise average,target,augmentation_only,brier,5,0.12745633287780306,0.0010151423610064065,0.12619586715508982,0.1287167986005163
nonselective pairwise average,target,full_method,f1,5,0.26888031496639014,0.045973701361613335,0.2117964251215034,0.3259642048112769
nonselective pairwise average,target,full_method,precision,5,0.7066968540904957,0.036641007633654424,0.6612010340538775,0.7521926741271138
nonselective pairwise average,target,full_method,recall,5,0.1862613118826521,0.050830085332098235,0.12314742490016038,0.2493751988651438
nonselective pairwise average,target,full_method,false_positive_rate,5,0.015599109957798844,0.015566999909022175,-0.003729873389275301,0.03492809330487299
nonselective pairwise average,target,full_method,ece,5,0.13090486998965772,0.0026212771955685474,0.12765012446660773,0.13415961551270772
nonselective pairwise average,target,full_method,brier,5,0.12984976778175647,0.0013288447724135012,0.12819978906864934,0.1314997464948636
nonselective pairwise average,target,indicators_only,f1,5,0.15729552909094274,0.03817469045641175,0.10989539030864337,0.20469566787324212
nonselective pairwise average,target,indicators_only,precision,5,0.6290257788104993,0.07441641532100284,0.5366255950310308,0.7214259625899677
nonselective pairwise average,target,indicators_only,recall,5,0.13599574140888387,0.04772742823826248,0.07673431203857954,0.1952571707791882
nonselective pairwise average,target,indicators_only,false_positive_rate,5,0.03878851619074463,0.019960591422255994,0.014004168438874448,0.06357286394261481
