seed,dataset,condition_type,missing_groups,both_correct,baseline_only_correct,group_only_correct,both_wrong
2027,source,complete,,149886,69,94,129
2027,source,single,G1_Packet_Byte_Magnitude,119955,103,29921,199
2027,source,single,G2_Temporal_Activity,140986,107,8832,253
2027,source,single,G3_TCP_Control_Flags,149872,49,90,167
2027,source,single,G4_Rate_Header_Flow_Context,140431,3659,5196,892
2027,source,pairwise_unseen,G1_Packet_Byte_Magnitude+G2_Temporal_Activity,119652,0,1,30525
2027,source,pairwise_unseen,G1_Packet_Byte_Magnitude+G3_TCP_Control_Flags,119987,39,18289,11863
2027,source,pairwise_unseen,G1_Packet_Byte_Magnitude+G4_Rate_Header_Flow_Context,119652,0,1,30525
2027,source,pairwise_unseen,G2_Temporal_Activity+G3_TCP_Control_Flags,140897,79,8902,300
2027,source,pairwise_unseen,G2_Temporal_Activity+G4_Rate_Header_Flow_Context,134902,557,9056,5663
2027,source,pairwise_unseen,G3_TCP_Control_Flags+G4_Rate_Header_Flow_Context,137487,3799,8125,767
2027,target,complete,,830771,4292,345,163735
2027,target,single,G1_Packet_Byte_Magnitude,827515,2573,23350,145705
2027,target,single,G2_Temporal_Activity,830194,14449,396,154104
2027,target,single,G3_TCP_Control_Flags,830830,2836,278,165199
2027,target,single,G4_Rate_Header_Flow_Context,732698,41845,99081,125519
2027,target,pairwise_unseen,G1_Packet_Byte_Magnitude+G2_Temporal_Activity,830073,0,0,169070
2027,target,pairwise_unseen,G1_Packet_Byte_Magnitude+G3_TCP_Control_Flags,830045,41,1661,167396
2027,target,pairwise_unseen,G1_Packet_Byte_Magnitude+G4_Rate_Header_Flow_Context,830073,0,0,169070
2027,target,pairwise_unseen,G2_Temporal_Activity+G3_TCP_Control_Flags,830167,4638,420,163918
2027,target,pairwise_unseen,G2_Temporal_Activity+G4_Rate_Header_Flow_Context,830080,35,184,168844
2027,target,pairwise_unseen,G3_TCP_Control_Flags+G4_Rate_Header_Flow_Context,743301,52855,88309,114678
2028,source,complete,,149885,58,112,123
2028,source,single,G1_Packet_Byte_Magnitude,119908,103,29958,209
2028,source,single,G2_Temporal_Activity,145452,42,4384,300
2028,source,single,G3_TCP_Control_Flags,149894,40,78,166
2028,source,single,G4_Rate_Header_Flow_Context,138388,3740,7157,893
2028,source,pairwise_unseen,G1_Packet_Byte_Magnitude+G2_Temporal_Activity,119652,0,416,30110
2028,source,pairwise_unseen,G1_Packet_Byte_Magnitude+G3_TCP_Control_Flags,119992,19,18110,12057
2028,source,pairwise_unseen,G1_Packet_Byte_Magnitude+G4_Rate_Header_Flow_Context,119646,6,4682,25844
2028,source,pairwise_unseen,G2_Temporal_Activity+G3_TCP_Control_Flags,140732,77,9071,298
2028,source,pairwise_unseen,G2_Temporal_Activity+G4_Rate_Header_Flow_Context,134921,478,9058,5721
2028,source,pairwise_unseen,G3_TCP_Control_Flags+G4_Rate_Header_Flow_Context,142349,3658,3183,988
2028,target,complete,,830789,4674,304,163376
2028,target,single,G1_Packet_Byte_Magnitude,827551,2514,23536,145542
2028,target,single,G2_Temporal_Activity,830144,12153,448,156398
2028,target,single,G3_TCP_Control_Flags,831311,2712,275,164845
2028,target,single,G4_Rate_Header_Flow_Context,733451,30598,98526,136568
2028,target,pairwise_unseen,G1_Packet_Byte_Magnitude+G2_Temporal_Activity,830073,0,0,169070
2028,target,pairwise_unseen,G1_Packet_Byte_Magnitude+G3_TCP_Control_Flags,830024,44,1476,167599
2028,target,pairwise_unseen,G1_Packet_Byte_Magnitude+G4_Rate_Header_Flow_Context,830070,3,23,169047
2028,target,pairwise_unseen,G2_Temporal_Activity+G3_TCP_Control_Flags,829993,5336,584,163230
2028,target,pairwise_unseen,G2_Temporal_Activity+G4_Rate_Header_Flow_Context,830039,27,245,168832
2028,target,pairwise_unseen,G3_TCP_Control_Flags+G4_Rate_Header_Flow_Context,774996,22967,56749,144431
2029,source,complete,,149923,35,76,144
2029,source,single,G1_Packet_Byte_Magnitude,119897,130,30005,146
2029,source,single,G2_Temporal_Activity,149218,56,610,294
2029,source,single,G3_TCP_Control_Flags,149915,25,61,177
2029,source,single,G4_Rate_Header_Flow_Context,143198,3494,2288,1198
2029,source,pairwise_unseen,G1_Packet_Byte_Magnitude+G2_Temporal_Activity,119471,181,12790,17736
2029,source,pairwise_unseen,G1_Packet_Byte_Magnitude+G3_TCP_Control_Flags,119980,46,22520,7632
2029,source,pairwise_unseen,G1_Packet_Byte_Magnitude+G4_Rate_Header_Flow_Context,119645,7,5819,24707
2029,source,pairwise_unseen,G2_Temporal_Activity+G3_TCP_Control_Flags,140681,84,9136,277
2029,source,pairwise_unseen,G2_Temporal_Activity+G4_Rate_Header_Flow_Context,134927,509,9411,5331
2029,source,pairwise_unseen,G3_TCP_Control_Flags+G4_Rate_Header_Flow_Context,143103,3536,2428,1111
2029,target,complete,,830794,5978,283,162088
2029,target,single,G1_Packet_Byte_Magnitude,825826,4240,38177,130900
2029,target,single,G2_Temporal_Activity,830080,341,440,168282
2029,target,single,G3_TCP_Control_Flags,830931,3345,361,164506
2029,target,single,G4_Rate_Header_Flow_Context,799120,24354,33058,142611
2029,target,pairwise_unseen,G1_Packet_Byte_Magnitude+G2_Temporal_Activity,830072,1,0,169070
2029,target,pairwise_unseen,G1_Packet_Byte_Magnitude+G3_TCP_Control_Flags,829661,405,6849,162228
2029,target,pairwise_unseen,G1_Packet_Byte_Magnitude+G4_Rate_Header_Flow_Context,830070,3,199,168871
2029,target,pairwise_unseen,G2_Temporal_Activity+G3_TCP_Control_Flags,830000,237,582,168324
2029,target,pairwise_unseen,G2_Temporal_Activity+G4_Rate_Header_Flow_Context,829878,18023,289,150953
2029,target,pairwise_unseen,G3_TCP_Control_Flags+G4_Rate_Header_Flow_Context,810286,16178,21740,150939
2030,source,complete,,149968,15,25,170
2030,source,single,G1_Packet_Byte_Magnitude,119843,166,30040,129
2030,source,single,G2_Temporal_Activity,142099,97,7730,252
2030,source,single,G3_TCP_Control_Flags,149934,12,44,188
2030,source,single,G4_Rate_Header_Flow_Context,142249,3396,3232,1301
2030,source,pairwise_unseen,G1_Packet_Byte_Magnitude+G2_Temporal_Activity,119524,128,13282,17244
2030,source,pairwise_unseen,G1_Packet_Byte_Magnitude+G3_TCP_Control_Flags,119855,154,29499,670
2030,source,pairwise_unseen,G1_Packet_Byte_Magnitude+G4_Rate_Header_Flow_Context,119559,93,8460,22066
2030,source,pairwise_unseen,G2_Temporal_Activity+G3_TCP_Control_Flags,140459,105,9347,267
2030,source,pairwise_unseen,G2_Temporal_Activity+G4_Rate_Header_Flow_Context,135100,237,9394,5447
2030,source,pairwise_unseen,G3_TCP_Control_Flags+G4_Rate_Header_Flow_Context,143052,3510,2345,1271
2030,target,complete,,831450,1500,91,166102
2030,target,single,G1_Packet_Byte_Magnitude,823096,6975,65667,103405
2030,target,single,G2_Temporal_Activity,829961,305,547,168330
2030,target,single,G3_TCP_Control_Flags,831790,1091,1944,164318
2030,target,single,G4_Rate_Header_Flow_Context,807459,4625,21924,165135
2030,target,pairwise_unseen,G1_Packet_Byte_Magnitude+G2_Temporal_Activity,830072,1,0,169070
2030,target,pairwise_unseen,G1_Packet_Byte_Magnitude+G3_TCP_Control_Flags,829122,950,18650,150421
2030,target,pairwise_unseen,G1_Packet_Byte_Magnitude+G4_Rate_Header_Flow_Context,813734,16339,520,168550
2030,target,pairwise_unseen,G2_Temporal_Activity+G3_TCP_Control_Flags,829969,318,550,168306
2030,target,pairwise_unseen,G2_Temporal_Activity+G4_Rate_Header_Flow_Context,829849,250,210,168834
2030,target,pairwise_unseen,G3_TCP_Control_Flags+G4_Rate_Header_Flow_Context,804465,30094,12061,152523
2031,source,complete,,149935,47,54,142
2031,source,single,G1_Packet_Byte_Magnitude,119884,125,29969,200
2031,source,single,G2_Temporal_Activity,141029,104,8788,257
2031,source,single,G3_TCP_Control_Flags,149919,27,49,183
2031,source,single,G4_Rate_Header_Flow_Context,141194,3628,4313,1043
2031,source,pairwise_unseen,G1_Packet_Byte_Magnitude+G2_Temporal_Activity,119647,5,4261,26265
2031,source,pairwise_unseen,G1_Packet_Byte_Magnitude+G3_TCP_Control_Flags,119975,34,18437,11732
2031,source,pairwise_unseen,G1_Packet_Byte_Magnitude+G4_Rate_Header_Flow_Context,119648,4,5159,25367
2031,source,pairwise_unseen,G2_Temporal_Activity+G3_TCP_Control_Flags,140687,80,9110,301
