seed,dataset,condition_type,missing_groups,both_correct,baseline_only_correct,group_only_correct,both_wrong
2027,source,complete,,150013,35,44,86
2027,source,single,G1_Packet_Byte_Magnitude,136944,74,13076,84
2027,source,single,G2_Temporal_Activity,148260,136,1656,126
2027,source,single,G3_TCP_Control_Flags,150035,22,17,104
2027,source,single,G4_Rate_Header_Flow_Context,124196,4109,21476,397
2027,source,pairwise_unseen,G1_Packet_Byte_Magnitude+G2_Temporal_Activity,128883,239,20741,315
2027,source,pairwise_unseen,G1_Packet_Byte_Magnitude+G3_TCP_Control_Flags,136349,75,13359,395
2027,source,pairwise_unseen,G1_Packet_Byte_Magnitude+G4_Rate_Header_Flow_Context,124759,618,7518,17283
2027,source,pairwise_unseen,G2_Temporal_Activity+G3_TCP_Control_Flags,145201,171,4693,113
2027,source,pairwise_unseen,G2_Temporal_Activity+G4_Rate_Header_Flow_Context,126418,5888,17067,805
2027,source,pairwise_unseen,G3_TCP_Control_Flags+G4_Rate_Header_Flow_Context,123337,4146,22185,510
2027,target,complete,,848211,19951,4486,126495
2027,target,single,G1_Packet_Byte_Magnitude,819279,3780,58043,118041
2027,target,single,G2_Temporal_Activity,830104,346,27228,141465
2027,target,single,G3_TCP_Control_Flags,839142,15365,15001,129635
2027,target,single,G4_Rate_Header_Flow_Context,709608,50976,119795,118764
2027,target,pairwise_unseen,G1_Packet_Byte_Magnitude+G2_Temporal_Activity,827208,2888,49680,119367
2027,target,pairwise_unseen,G1_Packet_Byte_Magnitude+G3_TCP_Control_Flags,820649,2332,58405,117757
2027,target,pairwise_unseen,G1_Packet_Byte_Magnitude+G4_Rate_Header_Flow_Context,805314,22287,15473,156069
2027,target,pairwise_unseen,G2_Temporal_Activity+G3_TCP_Control_Flags,829768,346,27553,141476
2027,target,pairwise_unseen,G2_Temporal_Activity+G4_Rate_Header_Flow_Context,824203,36222,3899,134819
2027,target,pairwise_unseen,G3_TCP_Control_Flags+G4_Rate_Header_Flow_Context,713242,49179,117857,118865
2028,source,complete,,150017,35,41,85
2028,source,single,G1_Packet_Byte_Magnitude,131978,81,18034,85
2028,source,single,G2_Temporal_Activity,147732,152,2167,127
2028,source,single,G3_TCP_Control_Flags,150024,21,28,105
2028,source,single,G4_Rate_Header_Flow_Context,126273,4090,19394,421
2028,source,pairwise_unseen,G1_Packet_Byte_Magnitude+G2_Temporal_Activity,127555,243,22073,307
2028,source,pairwise_unseen,G1_Packet_Byte_Magnitude+G3_TCP_Control_Flags,131277,81,18634,186
2028,source,pairwise_unseen,G1_Packet_Byte_Magnitude+G4_Rate_Header_Flow_Context,126896,395,4198,18689
2028,source,pairwise_unseen,G2_Temporal_Activity+G3_TCP_Control_Flags,144870,180,5028,100
2028,source,pairwise_unseen,G2_Temporal_Activity+G4_Rate_Header_Flow_Context,127880,5701,15873,724
2028,source,pairwise_unseen,G3_TCP_Control_Flags+G4_Rate_Header_Flow_Context,125252,4116,20269,541
2028,target,complete,,840389,13884,6265,138605
2028,target,single,G1_Packet_Byte_Magnitude,826240,3906,50967,118030
2028,target,single,G2_Temporal_Activity,829794,327,21714,147308
2028,target,single,G3_TCP_Control_Flags,838801,13709,3097,143536
2028,target,single,G4_Rate_Header_Flow_Context,740876,51317,90296,116654
2028,target,pairwise_unseen,G1_Packet_Byte_Magnitude+G2_Temporal_Activity,827067,3882,43751,124443
2028,target,pairwise_unseen,G1_Packet_Byte_Magnitude+G3_TCP_Control_Flags,827659,2445,53318,115721
2028,target,pairwise_unseen,G1_Packet_Byte_Magnitude+G4_Rate_Header_Flow_Context,803584,25846,18599,151114
2028,target,pairwise_unseen,G2_Temporal_Activity+G3_TCP_Control_Flags,829772,340,21708,147323
2028,target,pairwise_unseen,G2_Temporal_Activity+G4_Rate_Header_Flow_Context,821350,35918,8661,133214
2028,target,pairwise_unseen,G3_TCP_Control_Flags+G4_Rate_Header_Flow_Context,731735,52074,99427,115907
2029,source,complete,,150021,32,42,83
2029,source,single,G1_Packet_Byte_Magnitude,133251,86,16754,87
2029,source,single,G2_Temporal_Activity,148036,139,1890,113
2029,source,single,G3_TCP_Control_Flags,150019,17,39,103
2029,source,single,G4_Rate_Header_Flow_Context,128426,4057,17281,414
2029,source,pairwise_unseen,G1_Packet_Byte_Magnitude+G2_Temporal_Activity,128253,249,21377,299
2029,source,pairwise_unseen,G1_Packet_Byte_Magnitude+G3_TCP_Control_Flags,132541,92,17326,219
2029,source,pairwise_unseen,G1_Packet_Byte_Magnitude+G4_Rate_Header_Flow_Context,120251,1119,15426,13382
2029,source,pairwise_unseen,G2_Temporal_Activity+G3_TCP_Control_Flags,144881,165,5034,98
2029,source,pairwise_unseen,G2_Temporal_Activity+G4_Rate_Header_Flow_Context,132289,5648,11384,857
2029,source,pairwise_unseen,G3_TCP_Control_Flags+G4_Rate_Header_Flow_Context,127068,4091,18557,462
2029,target,complete,,851779,15955,5552,125857
2029,target,single,G1_Packet_Byte_Magnitude,818599,3799,60391,116354
2029,target,single,G2_Temporal_Activity,829889,257,46293,122704
2029,target,single,G3_TCP_Control_Flags,840524,12374,16685,129560
2029,target,single,G4_Rate_Header_Flow_Context,746892,56734,84505,111012
2029,target,pairwise_unseen,G1_Packet_Byte_Magnitude+G2_Temporal_Activity,826632,3415,48919,120177
2029,target,pairwise_unseen,G1_Packet_Byte_Magnitude+G3_TCP_Control_Flags,819784,2606,59194,117559
2029,target,pairwise_unseen,G1_Packet_Byte_Magnitude+G4_Rate_Header_Flow_Context,781379,48705,49928,119131
2029,target,pairwise_unseen,G2_Temporal_Activity+G3_TCP_Control_Flags,829770,338,46362,122673
2029,target,pairwise_unseen,G2_Temporal_Activity+G4_Rate_Header_Flow_Context,819804,32201,8336,138802
2029,target,pairwise_unseen,G3_TCP_Control_Flags+G4_Rate_Header_Flow_Context,717080,56679,114307,111077
2030,source,complete,,150018,30,15,115
2030,source,single,G1_Packet_Byte_Magnitude,135465,134,14525,54
2030,source,single,G2_Temporal_Activity,148628,138,1295,117
2030,source,single,G3_TCP_Control_Flags,149999,52,40,87
2030,source,single,G4_Rate_Header_Flow_Context,126663,3840,18810,865
2030,source,pairwise_unseen,G1_Packet_Byte_Magnitude+G2_Temporal_Activity,129027,411,20474,266
2030,source,pairwise_unseen,G1_Packet_Byte_Magnitude+G3_TCP_Control_Flags,131354,141,18586,97
2030,source,pairwise_unseen,G1_Packet_Byte_Magnitude+G4_Rate_Header_Flow_Context,115765,6407,22906,5100
2030,source,pairwise_unseen,G2_Temporal_Activity+G3_TCP_Control_Flags,145430,172,4480,96
2030,source,pairwise_unseen,G2_Temporal_Activity+G4_Rate_Header_Flow_Context,128805,5315,15333,725
2030,source,pairwise_unseen,G3_TCP_Control_Flags+G4_Rate_Header_Flow_Context,125007,3861,20305,1005
2030,target,complete,,848969,3627,23028,123519
2030,target,single,G1_Packet_Byte_Magnitude,815954,9087,91408,82694
2030,target,single,G2_Temporal_Activity,829731,369,49014,120029
2030,target,single,G3_TCP_Control_Flags,850368,1403,24394,122978
2030,target,single,G4_Rate_Header_Flow_Context,731797,39967,116408,110971
2030,target,pairwise_unseen,G1_Packet_Byte_Magnitude+G2_Temporal_Activity,816197,19604,70488,92854
2030,target,pairwise_unseen,G1_Packet_Byte_Magnitude+G3_TCP_Control_Flags,818281,3592,91116,86154
2030,target,pairwise_unseen,G1_Packet_Byte_Magnitude+G4_Rate_Header_Flow_Context,634791,194458,65190,104704
2030,target,pairwise_unseen,G2_Temporal_Activity+G3_TCP_Control_Flags,829728,386,48968,120061
2030,target,pairwise_unseen,G2_Temporal_Activity+G4_Rate_Header_Flow_Context,816413,37846,11706,133178
2030,target,pairwise_unseen,G3_TCP_Control_Flags+G4_Rate_Header_Flow_Context,716245,56442,115517,110939
2031,source,complete,,150022,33,38,85
2031,source,single,G1_Packet_Byte_Magnitude,132326,89,17687,76
2031,source,single,G2_Temporal_Activity,148433,130,1497,118
2031,source,single,G3_TCP_Control_Flags,149979,18,78,103
2031,source,single,G4_Rate_Header_Flow_Context,127174,4050,18504,450
2031,source,pairwise_unseen,G1_Packet_Byte_Magnitude+G2_Temporal_Activity,127921,225,21719,313
2031,source,pairwise_unseen,G1_Packet_Byte_Magnitude+G3_TCP_Control_Flags,131776,95,18151,156
2031,source,pairwise_unseen,G1_Packet_Byte_Magnitude+G4_Rate_Header_Flow_Context,122689,1783,10174,15532
2031,source,pairwise_unseen,G2_Temporal_Activity+G3_TCP_Control_Flags,144650,165,5275,88
2031,source,pairwise_unseen,G2_Temporal_Activity+G4_Rate_Header_Flow_Context,135595,5558,7870,1155
2031,source,pairwise_unseen,G3_TCP_Control_Flags+G4_Rate_Header_Flow_Context,125751,4086,19793,548
2031,target,complete,,863777,3959,2932,128475
2031,target,single,G1_Packet_Byte_Magnitude,818282,6676,66035,108150
2031,target,single,G2_Temporal_Activity,829933,314,45048,123848
2031,target,single,G3_TCP_Control_Flags,852784,54,14824,131481
2031,target,single,G4_Rate_Header_Flow_Context,734423,51158,96827,116735
2031,target,pairwise_unseen,G1_Packet_Byte_Magnitude+G2_Temporal_Activity,826761,9075,49514,113793
2031,target,pairwise_unseen,G1_Packet_Byte_Magnitude+G3_TCP_Control_Flags,819336,2641,73007,104159
2031,target,pairwise_unseen,G1_Packet_Byte_Magnitude+G4_Rate_Header_Flow_Context,789807,36937,28113,144286
2031,target,pairwise_unseen,G2_Temporal_Activity+G3_TCP_Control_Flags,829782,329,46853,122179
2031,target,pairwise_unseen,G2_Temporal_Activity+G4_Rate_Header_Flow_Context,825772,30250,2268,140853
2031,target,pairwise_unseen,G3_TCP_Control_Flags+G4_Rate_Header_Flow_Context,731776,53227,99468,114672
